airline,mean_arrival_delay,proportion_delayed,delay_expected_value
NK,41.44997530113615,0.4911216653758946,20.356980899683684
F9,42.062584014062665,0.4675651175439657,19.666997038738142
B6,38.89763343242869,0.3828461867950313,14.891810634956249
UA,39.6580342355456,0.3714053410921846,14.729205732298347
MQ,39.74337582390879,0.3622483036860444,14.396970474967906
EV,35.700212217674704,0.3760767241362929,13.426018861793562
OO,33.00360595030398,0.3813787543207703,12.586874125420493
AA,34.612147110454806,0.3538941319019445,12.2490357549168
VX,30.85802913145118,0.39412463013164656,12.16190931802477
WN,29.822739130829994,0.3802274009603064,11.339422589232715
US,27.41992528019925,0.38389150290617213,10.526276325390633
DL,32.58149609147273,0.29362799548685603,9.566839387301972
AS,22.80629539951574,0.33185493565490276,7.568381692333001
HA,15.51550082336937,0.39888619163215766,6.188919034699414
